iter	RMSE
0	0.9694950391
1	0.9568458045
2	0.9446217531
3	0.9331768455
4	0.9233459727
5	0.9133243832
6	0.9052243035
7	0.8979839875
8	0.8901213297
9	0.8826940674
10	0.8768715583
11	0.8713730234
12	0.8667247861
13	0.8625345827
14	0.8599228597
15	0.8550903607
16	0.8540355539
17	0.853014448
18	0.8488103728
19	0.8446322485
20	0.8436971275
21	0.8411510676
22	0.8401860868
23	0.8395558187
24	0.8386470971
25	0.8378382579
26	0.837177667
27	0.8364271992
28	0.8322366907
29	0.831516338
30	0.8307987818
31	0.8277193901
32	0.8243866069
33	0.8220972772
34	0.8216476023
35	0.8203690219
36	0.8174548379
37	0.816739669
38	0.8161223129
39	0.8141418689
40	0.8137893288
41	0.8103491994
42	0.8096511962
43	0.8090164029
44	0.808634977
45	0.8059829446
46	0.8056002073
47	0.8037347912
48	0.8032531815
49	0.8027480968
50	0.8022159958
51	0.7998967158
52	0.7995103218
53	0.7989851996
54	0.797097189
55	0.7967345065
56	0.7963875398
57	0.7943002655
58	0.7916702369
59	0.7912408636
60	0.7892413541
61	0.7881638259
62	0.7862768646
63	0.7857886138
64	0.7854788761
65	0.7850761584
66	0.7833371184
67	0.7830736039
68	0.7810337184
69	0.7806787878
70	0.7803604137
71	0.7800486205
72	0.7796165194
73	0.7780505368
74	0.776656721
75	0.7762430841
76	0.7759591712
77	0.7746759196
78	0.7743633926
79	0.7739752792
80	0.773736612
81	0.7734663407
82	0.7722575779
83	0.7708619941
84	0.7705819512
85	0.7693586327
86	0.7678098733
87	0.7675556313
88	0.7661843415
89	0.7658385781
90	0.7655411869
91	0.7652225078
92	0.7648979908
93	0.7638213414
94	0.7628038592
95	0.762571345
96	0.7622800517
97	0.7609871175
98	0.760673616
99	0.7604152399
100	0.7593128175
101	0.758225509
102	0.7580106574
103	0.7577278727
104	0.7566030244
105	0.7563871059
106	0.7560141676
107	0.7544161734
108	0.7541998852
109	0.7529272967
110	0.7519164966
111	0.7516474577
112	0.7513513828
113	0.7511413927
114	0.7502717169
115	0.7499921027
116	0.7498174832
117	0.7495164565
118	0.7493006733
119	0.7483415234
120	0.7481311512
121	0.7472475011
122	0.7462658388
123	0.7460331478
124	0.7451693766
125	0.7449569215
126	0.7444313888
127	0.7442177025
128	0.7434711251
