iter	Passed	Remaining
0	4	4179
1	8	4263
2	12	4289
3	16	4167
4	20	4053
5	24	4024
6	28	4063
7	32	4034
8	36	4064
9	41	4115
10	46	4152
11	50	4164
12	55	4180
13	59	4191
14	63	4194
15	67	4172
16	71	4160
17	76	4155
18	80	4139
19	84	4124
20	88	4132
21	92	4115
22	96	4101
23	100	4086
24	104	4085
25	108	4078
26	112	4059
27	116	4054
28	121	4065
29	125	4071
30	130	4068
31	134	4067
32	139	4073
33	143	4065
34	146	4052
35	150	4040
36	155	4036
37	158	4020
38	162	4010
39	166	4006
40	171	4003
41	175	4000
42	179	3993
43	183	3989
44	187	3978
45	192	4000
46	196	3993
47	201	3996
48	206	3998
49	209	3989
50	213	3981
51	218	3975
52	221	3963
53	226	3969
54	230	3957
55	234	3949
56	239	3954
57	243	3949
58	247	3945
59	252	3956
60	256	3952
61	260	3946
62	265	3946
63	269	3942
64	273	3935
65	277	3928
66	281	3920
67	285	3917
68	289	3904
69	293	3899
70	297	3893
71	301	3887
72	305	3879
73	309	3870
74	314	3873
75	318	3876
76	323	3874
77	327	3867
78	331	3863
79	335	3860
80	339	3853
81	343	3845
82	347	3839
83	351	3830
84	355	3828
85	359	3819
86	363	3814
87	367	3807
88	371	3800
89	375	3794
90	379	3789
91	383	3784
92	387	3781
93	391	3772
94	395	3768
95	399	3761
96	403	3757
97	407	3751
98	411	3743
99	415	3740
100	419	3733
101	423	3728
102	427	3724
103	431	3721
104	436	3716
105	439	3708
106	443	3703
107	448	3704
108	452	3700
109	456	3694
110	460	3692
111	465	3688
112	469	3682
113	472	3675
114	476	3669
115	480	3662
116	484	3660
117	488	3652
118	492	3647
119	496	3644
120	501	3639
121	504	3632
122	508	3627
123	512	3622
124	517	3624
125	521	3617
126	525	3613
127	529	3609
128	533	3605
129	538	3601
130	542	3595
131	546	3590
132	550	3586
133	554	3582
134	558	3577
135	562	3571
136	566	3567
137	570	3563
138	574	3559
139	579	3562
140	583	3557
141	587	3551
142	591	3547
143	596	3544
144	600	3540
145	604	3535
146	608	3529
147	612	3525
148	616	3520
149	620	3515
150	624	3510
151	628	3506
152	633	3505
153	636	3498
154	640	3494
155	645	3492
156	650	3490
157	654	3486
158	658	3483
159	662	3478
160	666	3472
161	670	3466
162	674	3462
163	678	3458
164	682	3453
165	686	3448
166	690	3443
167	694	3441
168	699	3439
169	704	3437
170	708	3434
171	713	3432
172	716	3426
173	720	3421
174	725	3418
175	729	3414
176	733	3410
177	737	3404
178	741	3401
179	745	3396
180	749	3391
